true_label,predicted_label,X_channel_0,X_channel_1
8,8,-260.5976,-63.95117
8,8,-267.83618,58.62295
8,1,-231.64185,74.6097
8,1,-264.2169,74.6097
8,8,-267.83478,-58.62295
8,8,-271.45547,-69.27939
8,8,-235.26114,-74.6097
1,1,-246.11902,138.56087
1,1,-246.12044,138.56087
1,1,-246.11902,106.5832
1,1,-246.12044,117.24381
1,1,-256.9783,133.23056
1,1,-242.49973,111.913506
1,1,-231.64185,111.913506
1,1,-256.9783,111.913506
1,1,-253.3576,122.57204
1,1,-238.88043,133.23056
1,1,-249.73831,127.90234
1,1,-256.9783,117.24173
1,1,-256.9783,138.55878
1,1,-256.9783,106.5832
1,1,-249.73973,127.90234
1,1,-246.11902,111.913506
1,1,-238.88043,149.2194
1,1,-267.83478,117.24173
1,1,-253.35902,149.2194
1,1,-246.11902,127.90234
5,5,253.35902,-90.59853
5,5,264.2169,-106.58529
5,5,246.11902,-106.58529
5,5,238.88043,-106.58529
5,5,264.2169,-101.257065
5,5,264.2169,-85.26823
5,5,256.9769,-95.92676
5,5,246.11902,-106.58529
5,5,249.73973,-85.26823
5,5,249.73831,-79.93792
5,5,253.35902,-90.59853
5,5,264.2169,-101.254974
5,5,260.5976,-90.59645
5,5,249.73831,-101.254974
4,5,264.21548,-69.27939
4,4,267.83618,63.95117
4,4,260.5962,85.26823
4,4,267.83618,58.62295
4,4,267.83618,79.93792
4,4,253.35902,69.28148
4,5,260.5976,-63.95117
4,4,264.2169,74.6097
4,5,260.5976,-74.6097
4,4,271.45547,90.59645
4,5,267.83618,-74.6097
4,4,260.5976,90.59853
4,4,256.9783,79.94001
4,5,249.73831,-63.95117
4,4,264.2169,74.6097
4,4,271.45547,79.94001
4,4,278.69406,85.26823
4,4,264.2169,69.28148
6,6,101.34304,-154.54762
6,6,90.48516,-143.8891
6,6,90.48516,-122.57204
6,6,90.48516,-111.913506
6,6,90.48516,-85.26823
6,6,97.72375,-122.57204
6,6,86.86587,-111.913506
6,6,79.62728,-127.90234
6,6,94.104454,-127.90234
6,6,86.86587,-143.8891
6,6,97.72375,-133.23056
6,6,79.62728,-143.89117
6,6,97.72375,-133.23265
6,6,90.48516,-143.8891
6,6,115.82163,-159.87793
6,6,79.62586,-159.87793
6,6,94.104454,-154.54971
6,6,86.86587,-138.56087
6,6,94.104454,-122.57204
6,6,104.96233,-159.87793
6,6,108.583046,-149.2194
6,6,101.34446,-122.57412
6,6,101.34304,-127.90234
6,6,68.7694,-127.90234
3,3,97.72375,165.20615
3,3,97.72375,149.21732
3,3,119.43951,186.52321
3,3,104.96233,165.20615
3,3,104.96233,191.85143
3,3,83.246574,165.20615
3,3,104.96233,149.2194
3,3,97.72375,165.20615
3,3,115.82163,175.86469
3,3,108.58163,175.86469
3,6,115.82021,-170.53645
3,3,112.20234,159.87584
3,3,101.34304,181.19499
3,3,115.82163,186.52321
3,3,86.86587,175.86469
2,2,-86.86587,170.53645
2,2,-97.72375,197.18173
2,2,-104.96375,191.85352
2,2,-101.34304,165.20615
2,2,-97.72375,170.53436
2,2,-83.245155,191.85352
2,2,-76.00799,207.84027
2,2,-94.104454,186.52321
2,2,-76.00799,186.52321
2,2,-101.34446,159.87584
2,2,-90.48374,186.52321
2,2,-97.72375,186.52321
2,2,-86.86587,170.53436
2,2,-79.62586,191.85143
2,2,-79.62728,175.86469
2,7,-79.62728,-159.87793
2,2,-86.86587,165.20615
2,2,-94.104454,202.51204
2,2,-108.583046,213.16849
2,2,-94.104454,159.87793
2,2,-90.48516,170.53436
2,2,-94.104454,181.19499
2,2,-86.86587,202.50995
2,2,-90.48374,175.86469
2,2,-90.48516,186.52321
2,2,-90.48516,186.52321
2,2,-68.7694,165.20615
2,2,-86.86587,181.1929
2,2,-79.62728,191.85352
2,2,-76.00657,186.52321
7,7,-108.583046,-117.24381
7,7,-97.72375,-95.92676
7,7,-90.48516,-133.23265
7,7,-90.48516,-106.58529
7,7,-108.58163,-122.57204
7,7,-90.48516,-106.58529
7,7,-108.583046,-90.59853
7,7,-97.72375,-143.89117
7,7,-86.86587,-111.915596
7,7,-97.72375,-90.59645
7,7,-86.86587,-111.913506
