"X_Value","Dev1.ai3","Dev1.ai0"
60.39,-23.9726986360672,-11.2670590028262
60.392,-22.3745604592895,-15.0227453371016
60.394,-22.3745604592895,-11.2670590028262
60.396,-22.3745604592895,-20.6559071386582
60.398,-19.1782841057341,-11.2670590028262
60.4,-27.1689749896227,-16.9002208043828
60.402,-19.1782841057341,-15.0227453371016
60.404,-27.1689749896227,-15.0227453371016
60.406,-19.1782841057341,-18.778431671377
60.408,-20.7764222825118,-13.1445344701074
60.41,-20.7764222825118,-16.9002208043828
60.412,-20.7764222825118,-9.38884813583199
60.414,-19.1782841057341,-13.1445344701074
60.416,-14.3838695754009,-5.63316180155659
60.418,-17.5801459289563,-11.2670590028262
60.42,-11.1869672374441,-15.0227453371016
60.422,-15.9820077521786,-11.2670590028262
60.424,-14.3838695754009,-13.1445344701074
60.426,-15.9820077521786,-5.63316180155659
60.428,-14.3838695754009,-13.1445344701074
60.43,-11.1869672374441,-9.38884813583199
60.432,-15.9820077521786,-11.2670590028262
60.434,-15.9820077521786,-13.1445344701074
60.436,-14.3838695754009,-5.63316180155659
60.438,-20.7764222825118,-5.63316180155659
60.44,-17.5801459289563,-15.0227453371016
60.442,-19.1782841057341,-5.63316180155659
60.444,-20.7764222825118,-9.38884813583199
60.446,-17.5801459289563,-7.51137266855079
60.448,-17.5801459289563,-9.38884813583199
60.45,-17.5801459289563,-13.1445344701074
60.452,-17.5801459289563,-1.8782108669942
60.454,-22.3745604592895,-7.51137266855079
60.456,-17.5801459289563,-7.51137266855079
60.458,-22.3745604592895,-7.51137266855079
60.46,-17.5801459289563,-5.63316180155659
60.462,-17.5801459289563,-1.8782108669942
60.464,-20.7764222825118,-11.2670590028262
60.466,-17.5801459289563,0
60.468,-20.7764222825118,-5.63316180155659
60.47,-15.9820077521786,-3.7556863342754
60.472,-15.9820077521786,0
60.474,-22.3745604592895,-7.51137266855079
60.476,-14.3838695754009,-3.7556863342754
60.478,-20.7764222825118,-3.7556863342754
60.48,-17.5801459289563,-5.63316180155659
60.482,-15.9820077521786,1.8774754672812
60.484,-22.3745604592895,-3.7556863342754
60.486,-14.3838695754009,-1.8782108669942
60.488,-17.5801459289563,-1.8782108669942
60.49,-17.5801459289563,-7.51137266855079
60.492,-12.7857313986232,-1.8782108669942
60.494,-17.5801459289563,-1.8782108669942
60.496,-12.7857313986232,-7.51137266855079
60.498,-17.5801459289563,1.8774754672812
60.5,-15.9820077521786,-5.63316180155659
60.502,-11.1869672374441,0
60.504,-19.1782841057341,-1.8782108669942
60.506,-11.1869672374441,0
60.508,-11.1869672374441,1.8774754672812
60.51,-15.9820077521786,-5.63316180155659
60.512,-12.7857313986232,3.7556863342754
60.514,-20.7764222825118,-1.8782108669942
60.516,-12.7857313986232,-1.8782108669942
60.518,-15.9820077521786,-1.8782108669942
60.52,-15.9820077521786,-7.51137266855079
60.522,-17.5801459289563,1.8774754672812
60.524,-17.5801459289563,-1.8782108669942
60.526,-15.9820077521786,1.8774754672812
60.528,-19.1782841057341,-5.63316180155659
60.53,-9.58882906066634,0
60.532,-17.5801459289563,0
60.534,-11.1869672374441,0
60.536,-11.1869672374441,5.63316180155659
60.538,-11.1869672374441,-1.8782108669942
60.54,-6.3925527071109,5.63316180155659
60.542,-12.7857313986232,3.7556863342754
60.544,-6.3925527071109,9.38884813583199
60.546,-12.7857313986232,-1.8782108669942
60.548,-6.3925527071109,3.7556863342754
60.55,-14.3838695754009,1.8774754672812
60.552,-7.99069088388862,1.8774754672812
60.554,-15.9820077521786,-3.7556863342754
60.556,-7.99069088388862,1.8774754672812
60.558,-17.5801459289563,0
60.56,-7.99069088388862,-1.8782108669942
60.562,-17.5801459289563,-1.8782108669942
60.564,-11.1869672374441,-1.8782108669942
60.566,-14.3838695754009,1.8774754672812
60.568,-12.7857313986232,-7.51137266855079
60.57,-11.1869672374441,1.8774754672812
60.572,-17.5801459289563,-1.8782108669942
60.574,-9.58882906066634,-1.8782108669942
60.576,-14.3838695754009,0
60.578,-14.3838695754009,-7.51137266855079
60.58,-14.3838695754009,1.8774754672812
60.582,-19.1782841057341,-5.63316180155659
60.584,-12.7857313986232,0
60.586,-15.9820077521786,0
60.588,-15.9820077521786,-3.7556863342754
60.59,-15.9820077521786,1.8774754672812
60.592,-19.1782841057341,5.63316180155659
60.594,-20.7764222825118,-3.7556863342754
60.596,-15.9820077521786,1.8774754672812
60.598,-17.5801459289563,0
60.6,-11.1869672374441,-3.7556863342754
60.602,-11.1869672374441,5.63316180155659
60.604,-19.1782841057341,0
60.606,-14.3838695754009,0
60.608,-17.5801459289563,1.8774754672812
60.61,-14.3838695754009,0
60.612,-15.9820077521786,1.8774754672812
60.614,-15.9820077521786,-5.63316180155659
60.616,-12.7857313986232,0
60.618,-20.7764222825118,0
60.62,-12.7857313986232,0
60.622,-17.5801459289563,5.63316180155659
60.624,-17.5801459289563,1.8774754672812
60.626,-12.7857313986232,3.7556863342754
60.628,-20.7764222825118,3.7556863342754
60.63,-17.5801459289563,0
60.632,-19.1782841057341,9.38884813583199
60.634,-22.3745604592895,1.8774754672812
60.636,-14.3838695754009,5.63316180155659
60.638,-17.5801459289563,5.63316180155659
60.64,-19.1782841057341,0
60.642,-17.5801459289563,7.51137266855079
60.644,-20.7764222825118,1.8774754672812
60.646,-15.9820077521786,1.8774754672812
60.648,-14.3838695754009,5.63316180155659
60.65,-17.5801459289563,-5.63316180155659
60.652,-7.99069088388862,1.8774754672812
60.654,-14.3838695754009,0
60.656,-7.99069088388862,-5.63316180155659
60.658,-7.99069088388862,5.63316180155659
60.66,-11.1869672374441,1.8774754672812
60.662,-7.99069088388862,7.51137266855079
60.664,-14.3838695754009,1.8774754672812
60.666,-11.1869672374441,3.7556863342754
60.668,-11.1869672374441,5.63316180155659
60.67,-14.3838695754009,-1.8782108669942
60.672,-4.79441453033318,1.8774754672812
60.674,-9.58882906066634,3.7556863342754
60.676,-9.58882906066634,-1.8782108669942
60.678,-4.79441453033318,7.51137266855079
60.68,-11.1869672374441,3.7556863342754
60.682,-3.19627635355545,-1.8782108669942
60.684,-9.58882906066634,7.51137266855079
60.686,-7.99069088388862,0
60.688,-4.79441453033318,9.38884813583199
60.69,-9.58882906066634,0
60.692,-3.19627635355545,3.7556863342754
60.694,-7.99069088388862,5.63316180155659
60.696,0,3.7556863342754
60.698,-4.79441453033318,3.7556863342754
60.7,-1.59813817677773,3.7556863342754
60.702,-4.79441453033318,3.7556863342754
60.704,-6.3925527071109,0
60.706,-6.3925527071109,9.38884813583199
60.708,-4.79441453033318,1.8774754672812
60.71,-6.3925527071109,5.63316180155659
60.712,-11.1869672374441,1.8774754672812
60.714,-4.79441453033318,7.51137266855079
60.716,-12.7857313986232,9.38884813583199
60.718,-11.1869672374441,7.51137266855079
60.72,-11.1869672374441,13.1445344701074
60.722,-15.9820077521786,3.7556863342754
60.724,-7.99069088388862,9.38884813583199
60.726,-11.1869672374441,13.1445344701074
60.728,-14.3838695754009,3.7556863342754
60.73,-7.99069088388862,7.51137266855079
60.732,-11.1869672374441,11.2670590028262
60.734,-14.3838695754009,1.8774754672812
60.736,-6.3925527071109,3.7556863342754
60.738,-6.3925527071109,13.1445344701074
60.74,-12.7857313986232,9.38884813583199
60.742,-6.3925527071109,7.51137266855079
60.744,-9.58882906066634,9.38884813583199
60.746,-7.99069088388862,3.7556863342754
60.748,-9.58882906066634,9.38884813583199
60.75,-12.7857313986232,3.7556863342754
60.752,-4.79441453033318,15.0227453371016
60.754,-14.3838695754009,9.38884813583199
60.756,-11.1869672374441,9.38884813583199
60.758,-7.99069088388862,13.1445344701074
60.76,-14.3838695754009,5.63316180155659
60.762,-6.3925527071109,9.38884813583199
60.764,-11.1869672374441,9.38884813583199
60.766,-6.3925527071109,7.51137266855079
60.768,-12.7857313986232,7.51137266855079
60.77,-4.79441453033318,7.51137266855079
60.772,-7.99069088388862,7.51137266855079
60.774,-7.99069088388862,3.7556863342754
60.776,-4.79441453033318,11.2670590028262
60.778,-7.99069088388862,1.8774754672812
60.78,-6.3925527071109,13.1445344701074
60.782,-6.3925527071109,5.63316180155659
60.784,-4.79441453033318,5.63316180155659
60.786,-9.58882906066634,7.51137266855079
60.788,-6.3925527071109,7.51137266855079
60.79,-6.3925527071109,11.2670590028262
60.792,-6.3925527071109,9.38884813583199
60.794,-4.79441453033318,13.1445344701074
60.796,-11.1869672374441,11.2670590028262
60.798,-7.99069088388862,7.51137266855079
60.8,-7.99069088388862,16.9002208043828
60.802,-7.99069088388862,13.1445344701074
60.804,-4.79441453033318,16.9002208043828
