"X_Value","Dev1.ai3","Dev1.ai0"
0,-7.11689774405538,-19.1393591406931
0.002,-4.06679871088879,-20.6119279988142
0.004,-4.06679871088879,-23.5564891415019
0.006,-7.11689774405538,-26.5010502841896
0.008,-6.10019806633318,-26.5010502841896
0.01,-6.10019806633318,-19.1393591406931
0.012,-3.05009903316659,-19.1393591406931
0.014,-3.05009903316659,-20.6119279988142
0.016,-8.13359742177757,-23.5564891415019
0.018,-7.11689774405538,-14.7228057134387
0.02,-2.03339935544439,-14.7228057134387
0.022,-5.08349838861098,-17.6673668561264
0.024,-3.05009903316659,-22.0839202833808
0.026,-7.11689774405538,-22.0839202833808
0.028,-6.10019806633318,-19.1393591406931
0.03,-2.03339935544439,-19.1393591406931
0.032,-2.03339935544439,-20.6119279988142
0.034,-4.06679871088879,-19.1393591406931
0.036,-4.06679871088879,-22.0839202833808
0.038,-7.11689774405538,-22.0839202833808
0.04,-6.10019806633318,-19.1393591406931
0.042,-2.03339935544439,-17.6673668561264
0.044,-1.0166996777222,-20.6119279988142
0.046,-4.06679871088879,-20.6119279988142
0.048,-6.10019806633318,-25.0284814260685
0.05,-3.05009903316659,-20.6119279988142
0.052,0,-17.6673668561264
0.054,-2.03339935544439,-23.5564891415019
0.056,-3.05009903316659,-25.0284814260685
0.058,2.03339935544439,-19.1393591406931
0.06,2.03339935544439,-16.1947979980053
0.062,-1.0166996777222,-19.1393591406931
0.064,-3.05009903316659,-19.1393591406931
0.066,-2.03339935544439,-19.1393591406931
0.068,0,-19.1393591406931
0.07,-3.05009903316659,-19.1393591406931
0.072,-5.08349838861098,-19.1393591406931
0.074,-3.05009903316659,-17.6673668561264
0.076,-4.06679871088879,-14.7228057134387
0.078,-1.0166996777222,-13.2502368553176
0.08,-5.08349838861098,-16.1947979980053
0.082,-7.11689774405538,-19.1393591406931
0.084,-4.06679871088879,-16.1947979980053
0.086,-1.0166996777222,-13.2502368553176
0.088,-3.05009903316659,-16.1947979980053
0.09,-3.05009903316659,-16.1947979980053
0.092,-1.0166996777222,-16.1947979980053
0.094,1.0166996777222,-11.778244570751
0.096,2.03339935544439,-17.6673668561264
0.098,-2.03339935544439,-22.0839202833808
0.1,0,-19.1393591406931
0.102,2.03339935544439,-17.6673668561264
0.104,-1.0166996777222,-22.0839202833808
0.106,-4.06679871088879,-19.1393591406931
0.108,1.0166996777222,-16.1947979980053
0.11,-2.03339935544439,-22.0839202833808
0.112,-4.06679871088879,-22.0839202833808
0.114,-2.03339935544439,-17.6673668561264
0.116,0,-14.7228057134387
0.118,-2.03339935544439,-19.1393591406931
0.12,-5.08349838861098,-19.1393591406931
0.122,-1.0166996777222,-10.3056757126299
0.124,0,-14.7228057134387
