"time","HEOG"
0.002,0
0.004,-0.007659
0.006,-0.015318
0.008,-0.007659
0.01,0
0.012,-0.007659
0.014,-0.0114885
0.016,-0.015318
0.018,0
0.02,-0.007659
0.022,-0.0114885
0.024,-0.0038295
0.026,-0.0038295
0.028,-0.0038295
0.03,0
0.032,-0.0038295
0.034,-0.0038295
0.036,-0.007659
0.038,-0.0038295
0.04,0.0038295
0.042,-0.0191475
0.044,-0.0114885
0.046,-0.0114885
0.048,-0.0268065
0.05,-0.0114885
0.052,-0.0191475
0.054,-0.0268065
0.056,-0.0191475
0.058,-0.038295
0.06,-0.0344655
0.062,-0.0191475
0.064,-0.038295
0.066,-0.0421245
0.068,-0.022977
0.07,-0.0344655
0.072,-0.038295
0.074,-0.0191475
0.076,-0.0268065
0.078,-0.0268065
0.08,-0.0191475
0.082,-0.038295
0.084,-0.022977
0.086,-0.0114885
0.088,-0.0191475
0.09,-0.022977
0.092,-0.007659
0.094,-0.0191475
0.096,-0.0268065
0.098,-0.0114885
0.1,-0.0191475
0.102,-0.022977
0.104,-0.007659
0.106,-0.007659
0.108,-0.0268065
0.11,-0.0191475
0.112,-0.022977
0.114,-0.0268065
0.116,-0.0191475
0.118,-0.0191475
0.12,-0.0191475
0.122,-0.022977
0.124,-0.0114885
0.126,-0.022977
0.128,-0.022977
0.13,-0.015318
0.132,-0.0344655
0.134,-0.0191475
0.136,-0.0114885
0.138,-0.015318
0.14,-0.0191475
0.142,0
0.144,0.0038295
0.146,-0.0038295
0.148,0.019149
0.15,0.0229785
0.152,0.0038295
0.154,0.01149
0.156,0.01149
0.158,-0.0038295
0.16,0.0038295
0.162,-0.0038295
0.164,-0.015318
0.166,0
0.168,-0.007659
0.17,-0.0191475
0.172,-0.0038295
0.174,-0.0114885
0.176,-0.0191475
0.178,-0.0038295
0.18,0.0038295
0.182,0.0038295
0.184,-0.0114885
0.186,-0.007659
0.188,0.0076605
0.19,0
0.192,-0.007659
0.194,0.0076605
0.196,-0.0038295
0.198,-0.0191475
0.2,-0.007659
0.202,0
0.204,-0.0191475
0.206,-0.007659
0.208,0.0038295
0.21,-0.007659
0.212,-0.0114885
0.214,-0.0038295
0.216,0.0076605
0.218,-0.0038295
0.22,-0.0114885
0.222,-0.0038295
0.224,-0.0038295
0.226,-0.007659
0.228,-0.0038295
0.23,-0.0038295
0.232,-0.0038295
0.234,-0.0038295
0.236,-0.007659
0.238,-0.0038295
0.24,-0.015318
0.242,0.0038295
0.244,-0.007659
0.246,-0.0038295
0.248,-0.0038295
0.25,0.0076605
0.252,-0.0038295
0.254,-0.0114885
0.256,0.0038295
0.258,0.0076605
0.26,-0.0114885
0.262,0
0.264,0.01149
0.266,0
0.268,0.0038295
0.27,0.01149
0.272,-0.0038295
0.274,0.0038295
0.276,0.0038295
0.278,-0.0114885
0.28,0.01149
0.282,0
0.284,-0.0038295
0.286,0.0076605
0.288,0.0038295
0.29,0
0.292,0.0153195
0.294,0.0038295
0.296,-0.0038295
0.298,0.0153195
0.3,0.0038295
0.302,0.0076605
0.304,0.0076605
0.306,0.019149
0.308,0.01149
0.31,0.0038295
0.312,0.01149
0.314,0.019149
0.316,0.0038295
0.318,0.01149
0.32,0.01149
0.322,0.0038295
0.324,0.01149
0.326,0.01149
0.328,0.0038295
0.33,0.0076605
0.332,0.026808
0.334,0.026808
0.336,0.0076605
0.338,0.01149
0.34,0.026808
0.342,0.0229785
0.344,0.01149
0.346,0.026808
0.348,0.019149
0.35,0.0076605
0.352,0.019149
0.354,0.0153195
0.356,0.0038295
0.358,0.01149
0.36,0.0229785
0.362,0.019149
0.364,0.0076605
0.366,0.0153195
0.368,0.019149
0.37,0.0153195
0.372,0.0153195
0.374,0.0153195
0.376,0.0153195
0.378,0.0153195
0.38,0.01149
0.382,0.01149
0.384,0.0076605
0.386,0.0076605
0.388,0.01149
0.39,0.01149
0.392,0.0038295
0.394,0.01149
0.396,0.026808
0.398,0.019149
0.4,0.0076605
0.402,0.0153195
0.404,0.019149
0.406,0.0229785
0.408,0.01149
0.41,0.0038295
0.412,0.01149
0.414,0.019149
0.416,0.019149
0.418,0.01149
0.42,0.01149
0.422,0.0038295
0.424,0.0153195
0.426,0.0229785
0.428,0.026808
0.43,0.026808
0.432,0.042126
0.434,0.049785
0.436,0.061275
0.438,0.061275
0.44,0.0804225
0.442,0.0957405
0.444,0.091911
0.446,0.091911
0.448,0.1033995
0.45,0.118719
0.452,0.11106
0.454,0.1033995
0.456,0.1033995
0.458,0.126378
0.46,0.126378
0.462,0.1033995
0.464,0.1072305
0.466,0.126378
0.468,0.11106
0.47,0.1033995
0.472,0.11106
0.474,0.118719
0.476,0.1072305
0.478,0.11106
0.48,0.1072305
0.482,0.1072305
0.484,0.09957
0.486,0.1072305
0.488,0.1072305
