"time.sec.","HEOG"
0.002,-0.072681
0.004,-0.070128
0.006,-0.072681
0.008,-0.072681
0.01,-0.072681
0.012,-0.070128
0.014,-0.075234
0.016,-0.070128
0.018,-0.062469
0.02,-0.067575
0.022,-0.072681
0.024,-0.065022
0.026,-0.065022
0.028,-0.067575
0.03,-0.067575
0.032,-0.059916
0.034,-0.070128
0.036,-0.070128
0.038,-0.067575
0.04,-0.072681
0.042,-0.08034
0.044,-0.075234
0.046,-0.070128
0.048,-0.082893
0.05,-0.075234
0.052,-0.077787
0.054,-0.070128
0.056,-0.077787
0.058,-0.082893
0.06,-0.070128
0.062,-0.070128
0.064,-0.082893
0.066,-0.075234
0.068,-0.070128
0.07,-0.065022
0.072,-0.077787
0.074,-0.075234
0.076,-0.059916
0.078,-0.065022
0.08,-0.067575
0.082,-0.065022
0.084,-0.052256
0.086,-0.057363
0.088,-0.059916
0.09,-0.062469
0.092,-0.054809
0.094,-0.049703
0.096,-0.062469
0.098,-0.059916
0.1,-0.052256
0.102,-0.059916
0.104,-0.065022
0.106,-0.062469
0.108,-0.065022
0.11,-0.072681
0.112,-0.067575
0.114,-0.059916
0.116,-0.075234
0.118,-0.070128
0.12,-0.070128
0.122,-0.067575
0.124,-0.070128
0.126,-0.065022
0.128,-0.059916
0.13,-0.067575
0.132,-0.067575
0.134,-0.054809
0.136,-0.057363
0.138,-0.067575
0.14,-0.065022
0.142,-0.065022
0.144,-0.065022
0.146,-0.067575
0.148,-0.065022
0.15,-0.067575
0.152,-0.072681
0.154,-0.065022
0.156,-0.065022
0.158,-0.070128
0.16,-0.059916
0.162,-0.062469
0.164,-0.067575
0.166,-0.065022
0.168,-0.062469
0.17,-0.059916
0.172,-0.059916
0.174,-0.054809
0.176,-0.070128
0.178,-0.072681
0.18,-0.062469
0.182,-0.072681
0.184,-0.075234
0.186,-0.070128
0.188,-0.065022
0.19,-0.075234
0.192,-0.075234
0.194,-0.062469
0.196,-0.070128
0.198,-0.072681
0.2,-0.065022
0.202,-0.065022
0.204,-0.062469
0.206,-0.062469
0.208,-0.057363
0.21,-0.062469
0.212,-0.067575
0.214,-0.062469
0.216,-0.057363
0.218,-0.062469
0.22,-0.065022
0.222,-0.059916
0.224,-0.052256
0.226,-0.062469
0.228,-0.054809
0.23,-0.049703
0.232,-0.054809
0.234,-0.059916
0.236,-0.057363
0.238,-0.057363
0.24,-0.049703
0.242,-0.059916
0.244,-0.067575
0.246,-0.062469
0.248,-0.052256
0.25,-0.057363
0.252,-0.062469
0.254,-0.054809
0.256,-0.049703
0.258,-0.049703
0.26,-0.052256
0.262,-0.062469
0.264,-0.049703
0.266,-0.049703
0.268,-0.065022
0.27,-0.065022
0.272,-0.059916
0.274,-0.059916
0.276,-0.075234
0.278,-0.070128
0.28,-0.067575
0.282,-0.077787
0.284,-0.08034
0.286,-0.070128
0.288,-0.070128
0.29,-0.075234
0.292,-0.059916
0.294,-0.059916
0.296,-0.070128
0.298,-0.065022
0.3,-0.059916
0.302,-0.067575
0.304,-0.072681
0.306,-0.070128
0.308,-0.067575
0.31,-0.075234
0.312,-0.08034
0.314,-0.070128
0.316,-0.070128
0.318,-0.075234
0.32,-0.072681
0.322,-0.072681
0.324,-0.070128
0.326,-0.062469
0.328,-0.070128
0.33,-0.077787
0.332,-0.070128
0.334,-0.065022
0.336,-0.070128
0.338,-0.08034
0.34,-0.072681
0.342,-0.067575
0.344,-0.072681
0.346,-0.072681
0.348,-0.072681
0.35,-0.062469
0.352,-0.070128
0.354,-0.072681
0.356,-0.065022
0.358,-0.059916
0.36,-0.057363
0.362,-0.070128
0.364,-0.070128
0.366,-0.057363
0.368,-0.059916
0.37,-0.070128
0.372,-0.070128
0.374,-0.062469
0.376,-0.054809
0.378,-0.059916
0.38,-0.067575
0.382,-0.059916
0.384,-0.065022
0.386,-0.065022
0.388,-0.072681
0.39,-0.067575
0.392,-0.070128
0.394,-0.062469
0.396,-0.072681
0.398,-0.075234
0.4,-0.075234
0.402,-0.067575
0.404,-0.065022
0.406,-0.062469
0.408,-0.062469
0.41,-0.067575
0.412,-0.059916
0.414,-0.052256
0.416,-0.054809
0.418,-0.059916
0.42,-0.059916
0.422,-0.059916
0.424,-0.054809
0.426,-0.062469
0.428,-0.062469
