"time","HEOG"
0.002,0
0.004,-0.005106
0.006,-0.010212
0.008,-0.005106
0.01,0
0.012,-0.005106
0.014,-0.007659
0.016,-0.010212
0.018,0
0.02,-0.005106
0.022,-0.007659
0.024,-0.002553
0.026,-0.002553
0.028,-0.002553
0.03,0
0.032,-0.002553
0.034,-0.002553
0.036,-0.005106
0.038,-0.002553
0.04,0.002553
0.042,-0.012765
0.044,-0.007659
0.046,-0.007659
0.048,-0.017871
0.05,-0.007659
0.052,-0.012765
0.054,-0.017871
0.056,-0.012765
0.058,-0.02553
0.06,-0.022977
0.062,-0.012765
0.064,-0.02553
0.066,-0.028083
0.068,-0.015318
0.07,-0.022977
0.072,-0.02553
0.074,-0.012765
0.076,-0.017871
0.078,-0.017871
0.08,-0.012765
0.082,-0.02553
0.084,-0.015318
0.086,-0.007659
0.088,-0.012765
0.09,-0.015318
0.092,-0.005106
0.094,-0.012765
0.096,-0.017871
0.098,-0.007659
0.1,-0.012765
0.102,-0.015318
0.104,-0.005106
0.106,-0.005106
0.108,-0.017871
0.11,-0.012765
0.112,-0.015318
0.114,-0.017871
0.116,-0.012765
0.118,-0.012765
0.12,-0.012765
0.122,-0.015318
0.124,-0.007659
0.126,-0.015318
0.128,-0.015318
0.13,-0.010212
0.132,-0.022977
0.134,-0.012765
0.136,-0.007659
0.138,-0.010212
0.14,-0.012765
0.142,0
0.144,0.002553
0.146,-0.002553
0.148,0.012766
0.15,0.015319
0.152,0.002553
0.154,0.00766
0.156,0.00766
0.158,-0.002553
0.16,0.002553
0.162,-0.002553
0.164,-0.010212
0.166,0
0.168,-0.005106
0.17,-0.012765
0.172,-0.002553
0.174,-0.007659
0.176,-0.012765
0.178,-0.002553
0.18,0.002553
0.182,0.002553
0.184,-0.007659
0.186,-0.005106
0.188,0.005107
0.19,0
0.192,-0.005106
0.194,0.005107
0.196,-0.002553
0.198,-0.012765
0.2,-0.005106
0.202,0
0.204,-0.012765
0.206,-0.005106
0.208,0.002553
0.21,-0.005106
0.212,-0.007659
0.214,-0.002553
0.216,0.005107
0.218,-0.002553
0.22,-0.007659
0.222,-0.002553
0.224,-0.002553
0.226,-0.005106
0.228,-0.002553
0.23,-0.002553
0.232,-0.002553
0.234,-0.002553
0.236,-0.005106
0.238,-0.002553
0.24,-0.010212
0.242,0.002553
0.244,-0.005106
0.246,-0.002553
0.248,-0.002553
0.25,0.005107
0.252,-0.002553
0.254,-0.007659
0.256,0.002553
0.258,0.005107
0.26,-0.007659
0.262,0
0.264,0.00766
0.266,0
0.268,0.002553
0.27,0.00766
0.272,-0.002553
0.274,0.002553
0.276,0.002553
0.278,-0.007659
0.28,0.00766
0.282,0
0.284,-0.002553
0.286,0.005107
0.288,0.002553
0.29,0
0.292,0.010213
0.294,0.002553
0.296,-0.002553
0.298,0.010213
0.3,0.002553
0.302,0.005107
0.304,0.005107
0.306,0.012766
0.308,0.00766
0.31,0.002553
0.312,0.00766
0.314,0.012766
0.316,0.002553
0.318,0.00766
0.32,0.00766
0.322,0.002553
0.324,0.00766
0.326,0.00766
0.328,0.002553
0.33,0.005107
0.332,0.017872
0.334,0.017872
0.336,0.005107
0.338,0.00766
0.34,0.017872
0.342,0.015319
0.344,0.00766
0.346,0.017872
0.348,0.012766
0.35,0.005107
0.352,0.012766
0.354,0.010213
0.356,0.002553
0.358,0.00766
0.36,0.015319
0.362,0.012766
0.364,0.005107
0.366,0.010213
0.368,0.012766
0.37,0.010213
0.372,0.010213
0.374,0.010213
0.376,0.010213
0.378,0.010213
0.38,0.00766
0.382,0.00766
0.384,0.005107
0.386,0.005107
0.388,0.00766
0.39,0.00766
0.392,0.002553
0.394,0.00766
0.396,0.017872
0.398,0.012766
0.4,0.005107
0.402,0.010213
0.404,0.012766
0.406,0.015319
0.408,0.00766
0.41,0.002553
0.412,0.00766
0.414,0.012766
0.416,0.012766
0.418,0.00766
0.42,0.00766
0.422,0.002553
0.424,0.010213
0.426,0.015319
0.428,0.017872
0.43,0.017872
0.432,0.028084
0.434,0.03319
0.436,0.04085
0.438,0.04085
0.44,0.053615
0.442,0.063827
0.444,0.061274
0.446,0.061274
0.448,0.068933
0.45,0.079146
0.452,0.07404
0.454,0.068933
0.456,0.068933
0.458,0.084252
0.46,0.084252
0.462,0.068933
0.464,0.071487
0.466,0.084252
0.468,0.07404
0.47,0.068933
0.472,0.07404
0.474,0.079146
0.476,0.071487
0.478,0.07404
0.48,0.071487
0.482,0.071487
0.484,0.06638
0.486,0.071487
0.488,0.071487
0.49,0.071487
0.492,0.07404
0.494,0.06638
0.496,0.07404
0.498,0.079146
0.5,0.068933
0.502,0.07404
0.504,0.07404
0.506,0.071487
0.508,0.06638
0.51,0.07404
0.512,0.071487
0.514,0.071487
0.516,0.06638
0.518,0.071487
0.52,0.071487
0.522,0.07404
0.524,0.06638
0.526,0.071487
0.528,0.07404
0.53,0.07404
0.532,0.07404
0.534,0.079146
0.536,0.079146
0.538,0.06638
0.54,0.068933
0.542,0.071487
0.544,0.079146
0.546,0.07404
0.548,0.063827
0.55,0.071487
0.552,0.068933
0.554,0.06638
0.556,0.068933
0.558,0.068933
0.56,0.068933
0.562,0.063827
0.564,0.068933
0.566,0.068933
0.568,0.068933
0.57,0.068933
0.572,0.07404
0.574,0.068933
0.576,0.06638
0.578,0.06638
0.58,0.06638
0.582,0.056168
0.584,0.068933
0.586,0.06638
0.588,0.053615
0.59,0.061274
0.592,0.061274
0.594,0.053615
0.596,0.061274
0.598,0.063827
0.6,0.053615
0.602,0.056168
0.604,0.063827
0.606,0.056168
0.608,0.053615
0.61,0.058721
0.612,0.053615
0.614,0.045956
0.616,0.058721
0.618,0.058721
0.62,0.051062
0.622,0.056168
0.624,0.063827
0.626,0.063827
0.628,0.058721
0.63,0.07404
0.632,0.079146
0.634,0.068933
0.636,0.07404
0.638,0.07404
0.64,0.068933
0.642,0.063827
0.644,0.076593
0.646,0.068933
