"x","y"
1,0.025535
2,0.025535
3,0.028089
4,0.028089
5,0.028089
6,0.028089
7,0.028089
8,0.028089
9,0.030641
10,0.030642
11,0.030642
12,0.030642
13,0.030642
14,0.030642
15,0.030642
16,0.030642
17,0.030642
18,0.030642
19,0.030642
20,0.033195
21,0.033195
22,0.033195
23,0.033196
24,0.033196
25,0.033196
26,0.033196
27,0.033196
28,0.033196
29,0.035748
30,0.035748
31,0.035748
32,0.035749
33,0.035749
34,0.035749
35,0.035749
36,0.035749
37,0.035749
38,0.035749
39,0.035749
40,0.035749
41,0.038302
42,0.038302
43,0.038302
44,0.038302
45,0.038303
46,0.038303
47,0.038303
48,0.038303
49,0.040855
50,0.040855
51,0.040856
52,0.040856
53,0.040856
54,0.040856
55,0.040856
56,0.040856
57,0.040856
58,0.043409
59,0.043409
60,0.043409
61,0.043409
62,0.043409
63,0.043409
64,0.04341
65,0.04341
66,0.04341
67,0.04341
68,0.04341
69,0.045962
70,0.045962
71,0.045962
72,0.045963
73,0.045963
74,0.045963
75,0.045963
76,0.045963
77,0.045963
78,0.045963
79,0.045963
80,0.045963
81,0.048516
82,0.048516
83,0.048516
84,0.048516
85,0.048517
86,0.048517
87,0.048517
88,0.048517
89,0.048517
90,0.051069
91,0.05107
92,0.05107
93,0.053623
94,0.053623
95,0.053623
96,0.053623
97,0.053623
98,0.053623
99,0.053624
100,0.053624
101,0.053624
102,0.053624
103,0.056176
104,0.056176
105,0.056177
106,0.056177
107,0.056177
108,0.056177
109,0.056177
110,0.056177
111,0.05873
112,0.05873
113,0.05873
114,0.05873
115,0.05873
116,0.058731
117,0.058731
118,0.061283
119,0.0612839999999999
120,0.061284
121,0.061284
122,0.061284
123,0.061284
124,0.061284
125,0.061284
126,0.063837
127,0.063837
128,0.063837
129,0.063837
130,0.063837
131,0.063838
132,0.063838
133,0.063838
134,0.06639
135,0.06639
136,0.066391
137,0.068944
138,0.068944
139,0.068944
140,0.068944
141,0.068945
142,0.071497
143,0.071497
144,0.071497
145,0.071498
146,0.071498
147,0.071498
148,0.074051
149,0.074051
150,0.074051
151,0.074052
152,0.074052
153,0.074052
154,0.076604
155,0.076604
156,0.076605
157,0.076605
158,0.076605
159,0.076605
160,0.076605
161,0.076605
162,0.079158
163,0.079158
164,0.079158
165,0.079158
166,0.079158
167,0.079159
168,0.079159
169,0.079159
170,0.081711
171,0.081712
172,0.081712
173,0.084265
174,0.084265
175,0.084265
176,0.084265
177,0.084265
178,0.086818
179,0.086819
180,0.086819
181,0.086819
182,0.089372
183,0.089372
184,0.091925
185,0.091925
186,0.091925
187,0.091926
188,0.094479
189,0.094479
190,0.094479
191,0.097032
192,0.097033
193,0.097033
194,0.097033
195,0.099586
196,0.099586
197,0.099586
198,0.099586
199,0.099586
200,0.099587
201,0.102139
202,0.102139
203,0.10214
204,0.10214
205,0.10214
206,0.104693
207,0.104693
208,0.104693
209,0.104693
210,0.104693
211,0.107246
212,0.107246
213,0.107247
214,0.107247
215,0.1098
216,0.1098
217,0.1098
218,0.1098
219,0.1098
220,0.112353
221,0.112354
222,0.112354
223,0.112354
224,0.114907
225,0.114907
226,0.114907
227,0.114907
228,0.114907
229,0.114907
230,0.114907
231,0.114907
232,0.11746
233,0.117461
234,0.117461
235,0.117461
236,0.120014
237,0.120014
238,0.120014
239,0.120014
240,0.120014
241,0.120014
242,0.120014
243,0.120014
244,0.122567
245,0.122567
246,0.122568
247,0.122568
248,0.122568
249,0.125121
250,0.125121
251,0.125121
252,0.125121
253,0.127674
254,0.127674
255,0.127674
256,0.127674
257,0.127674
258,0.127674
259,0.127674
260,0.127674
261,0.127675
262,0.127675
263,0.127675
264,0.127675
265,0.130227
266,0.130228
267,0.130228
268,0.130228
269,0.130228
270,0.130228
271,0.130228
272,0.130228
273,0.132781
274,0.132782
275,0.132782
276,0.132782
277,0.132782
278,0.135335
279,0.135335
280,0.135335
281,0.135335
282,0.137888
283,0.137888
284,0.137888
285,0.137889
286,0.140441
287,0.140442
288,0.140442
289,0.140442
290,0.140442
291,0.140442
292,0.140442
293,0.140442
294,0.140442
295,0.140442
296,0.140442
297,0.140442
298,0.142995
299,0.142995
300,0.142995
301,0.142996
302,0.145549
303,0.145549
304,0.145549
305,0.148102
306,0.148102
307,0.150655
308,0.150656
309,0.153209
310,0.15321
311,0.15321
312,0.15321
313,0.15321
314,0.15321
315,0.155763
316,0.155763
317,0.155763
318,0.155763
319,0.158316
320,0.158316
321,0.158316
322,0.158316
323,0.158316
324,0.158317
325,0.160869
326,0.16087
327,0.16087
328,0.16087
329,0.16087
330,0.16087
331,0.163423
332,0.163423
333,0.163424
334,0.163424
335,0.165977
336,0.165977
337,0.16853
338,0.16853
339,0.16853
340,0.171084
341,0.171084
342,0.171084
343,0.171084
344,0.173637
345,0.173637
346,0.173637
347,0.17619
348,0.176191
349,0.176191
350,0.176191
351,0.178744
352,0.178744
353,0.178744
354,0.178745
355,0.181297
356,0.181297
357,0.181298
358,0.181298
359,0.181298
360,0.183851
361,0.186405
362,0.188958
363,0.188958
364,0.188958
365,0.191512
366,0.194065
367,0.194065
368,0.194065
369,0.194065
370,0.194065
371,0.196618
372,0.196619
373,0.199172
374,0.201726
375,0.206832
376,0.206833
377,0.211939
378,0.211939
379,0.211939
380,0.21194
381,0.21194
382,0.214493
383,0.2196
384,0.222153
385,0.224707
386,0.224707
387,0.22726
388,0.22726
389,0.22726
390,0.227261
391,0.229814
392,0.234921
393,0.234921
394,0.240028
395,0.242581
396,0.242581
397,0.242582
398,0.245135
399,0.245135
400,0.252795
401,0.257902
402,0.263009
