"x","gap_H"
-1.206909,-0.030637
-100.5003,-0.137866
-102.2589,-0.137866
-102.5363,-0.135313
-107.1101,-0.142972
-11.49738,-0.025531
-11.8079,-0.022978
-113.6803,-0.150631
-115.1686,-0.142972
-117.0374,-0.135313
-119.1744,-0.135313
-12.86301,-0.020424
-120.0727,-0.137866
-121.5149,-0.160844
-121.6436,-0.145525
-123.7581,-0.153185
-125.4988,-0.171056
-128.8213,-0.16595
-129.1619,-0.168503
-130.1854,-0.176162
-132.9098,-0.171057
-132.9116,-0.16595
-133.2903,-0.171056
-133.9884,-0.155737
-134.5438,-0.181269
-136.0459,-0.173609
-137.1114,-0.178715
-137.4699,-0.176162
-14.3604,-0.022978
-140.2024,-0.186375
-140.7915,-0.160843
-147.3418,-0.178715
-15.60719,-0.030636
-151.2981,-0.168503
-152.2898,-0.204246
-153.0334,-0.168503
-155.6409,-0.178715
-158.0348,-0.214459
-16.33107,-0.025531
-160.9861,-0.191481
-161.1201,-0.206799
-162.2247,-0.209352
-162.737,-0.183822
-163.1823,-0.204246
-163.4807,-0.204246
-168.9564,-0.211905
-17.21776,-0.028083
-171.4819,-0.227224
-171.5299,-0.19914
-172.2463,-0.214459
-178.7836,-0.227223
-23.52766,-0.025531
-24.19819,-0.058721
-26.60862,-0.053615
-28.40516,-0.028084
-31.35782,-0.058721
-36.72445,-0.071487
-36.96539,-0.058721
-37.45224,-0.051061
-39.07274,-0.063827
-39.48166,-0.035743
-39.65323,-0.025531
-4.428892,0.02553
-40.97733,-0.053615
-43.77472,-0.058721
-43.9254,-0.02553
-44.04005,-0.056168
-44.04816,-0.074039
-5.024818,-0.022978
-50.52284,-0.076592
-50.78898,-0.06638
-51.35942,-0.081698
-53.64732,-0.076592
-54.64108,-0.079145
-54.80923,-0.091911
-55.00933,-0.068933
-55.20682,-0.045955
-56.65897,-0.06638
-62.28901,-0.09191
-63.87189,-0.084251
-64.17065,-0.089357
-65.17666,-0.097017
-65.34915,-0.097017
-66.21547,-0.094464
-67.94492,-0.063826
-7.370751,0.025531
-70.89775,-0.081698
-73.43599,-0.079145
-73.57945,-0.09957
-75.03173,-0.091911
-75.98695,-0.086804
-77.91418,-0.109782
-78.37651,-0.097017
-81.14422,-0.107229
-82.53181,-0.097017
-83.20309,-0.114888
-83.91119,-0.109783
-84.95192,-0.107229
-87.03986,-0.119994
-92.31866,-0.13276
-93.55555,-0.119995
-93.73426,-0.135313
-93.95437,-0.142972
-94.41352,-0.112335
-95.3539,-0.112336
-96.67341,-0.114888
-96.96888,-0.114889
-97.3005,-0.135313
-97.80048,-0.140419
0.4494058,0.025531
100.7553,0.10723
101.2778,0.130206
101.548,0.148078
103.5603,0.125101
109.9118,0.13276
11.01327,-0.020425
113.7682,0.117441
115.3248,0.153184
121.3025,0.16595
121.6855,0.158291
122.1988,0.160843
124.2375,0.130207
126.0701,0.140419
129.1756,0.176163
129.2225,0.168503
132.5573,0.142972
132.8238,0.148078
133.7851,0.153185
135.2915,0.160844
135.2927,0.181269
136.6243,0.16595
138.276,0.158291
146.1182,0.188928
147.8354,0.176162
148.3645,0.178715
149.0089,0.168503
150.2763,0.163397
152.4255,0.168503
152.5744,0.196587
155.2005,0.191481
157.3319,0.186374
158.521,0.19914
158.6568,0.194034
159.3352,0.186374
164.4861,0.214458
167.094,0.186374
17.5322,0.020424
171.1617,0.22467
172.2943,0.209352
172.8624,0.219564
173.8251,0.201693
18.01599,0.028084
19.36661,0.020425
20.36739,0.020425
26.02521,0.061274
27.50017,0.020425
28.13337,0.028083
28.51706,0.048509
29.99355,0.02553
32.10759,0.030637
32.32066,0.030637
32.85803,0.056168
33.31683,0.028084
34.18925,0.061274
39.18851,0.058721
40.36684,0.05872
44.87978,0.058721
45.03051,0.058721
49.63759,0.061273
50.38472,0.084251
50.56992,0.06638
54.03494,0.084251
54.96134,0.084251
55.44712,0.071486
55.49782,0.081698
57.25325,0.081699
59.28034,0.102123
60.03432,0.074039
63.52631,0.091911
64.60326,0.102123
66.19521,0.089357
69.39611,0.097017
69.61635,0.09957
69.70639,0.084252
7.058725,-0.02553
70.68595,0.094464
71.04726,0.089358
71.12209,0.086805
71.28697,0.084252
73.2431,0.09957
78.49798,0.081698
78.7584,0.086804
79.94126,0.102123
81.74195,0.081699
83.20627,0.122548
83.77704,0.117441
84.28358,0.112335
84.52462,0.102123
85.69813,0.109782
86.69059,0.130207
87.80217,0.127654
88.05234,0.102123
88.54973,0.13276
89.4756,0.1251
9.679018,0.022977
94.3828,0.104676
94.74667,0.137866
95.31528,0.107229
