"x","gap_H"
-1.206909,-0.030637
-10.40026,-0.028084
-10.72706,0.025531
-100.5003,-0.137866
-101.0855,-0.150632
-102.2589,-0.137866
-102.5363,-0.135313
-105.5887,-0.130207
-107.1101,-0.142972
-108.308,-0.142972
-11.49738,-0.025531
-11.8079,-0.022978
-111.0957,-0.114888
-111.4361,-0.158291
-112.9312,-0.142973
-113.5412,-0.145525
-113.6803,-0.150631
-115.1686,-0.142972
-117.0374,-0.135313
-118.644,-0.148078
-118.974,-0.1251
-119.1744,-0.135313
-119.7775,-0.153185
-12.86301,-0.020424
-12.92219,0.025531
-120.0727,-0.137866
-121.5149,-0.160844
-121.6436,-0.145525
-123.7375,-0.191481
-123.7581,-0.153185
-124.1378,-0.178716
-125.4988,-0.171056
-125.7831,-0.117442
-126.6928,-0.188927
-127.0166,-0.122548
-127.6744,-0.09957
-128.8213,-0.16595
-129.1619,-0.168503
-130.1854,-0.176162
-130.4269,-0.142973
-130.8162,-0.137866
-132.3805,-0.171056
-132.9098,-0.171057
-132.9116,-0.16595
-133.2903,-0.171056
-133.9884,-0.155737
-134.5438,-0.181269
-135.2369,-0.196587
-136.0104,-0.104676
-136.0459,-0.173609
-137.1114,-0.178715
-137.4397,-0.150631
-137.4699,-0.176162
-14.3604,-0.022978
-140.2024,-0.186375
-140.2516,-0.19914
-140.7915,-0.160843
-142.1755,-0.127654
-145.4734,-0.153184
-145.8137,-0.201693
-146.0357,-0.194034
-147.2425,-0.107229
-147.3418,-0.178715
-147.5921,-0.158291
-148.9949,-0.181268
-15.60719,-0.030636
-15.92247,-0.022977
-150.1856,-0.171056
-151.2981,-0.168503
-152.2898,-0.204246
-153.0334,-0.168503
-155.6409,-0.178715
-156.9784,-0.16595
-158.0348,-0.214459
-159.4189,-0.219564
-16.33107,-0.025531
-160.9861,-0.191481
-161.1201,-0.206799
-161.955,-0.222117
-162.2247,-0.209352
-162.4235,-0.178715
-162.7054,-0.168503
-162.7361,-0.224671
-162.737,-0.183822
-163.1823,-0.204246
-163.4807,-0.204246
-167.741,-0.183822
-168.0803,-0.219564
-168.6801,-0.142972
-168.9564,-0.211905
-169.966,-0.183821
-17.21776,-0.028083
-171.4819,-0.227224
-171.5299,-0.19914
-172.2463,-0.214459
-172.4541,-0.242543
-173.3381,-0.194033
-174.6478,-0.183821
-175.0934,-0.191481
-175.3301,-0.214458
-176.4601,-0.140419
-177.5033,-0.181268
-177.8658,-0.239989
-178.0413,-0.25786
-178.7836,-0.227223
-179.3051,-0.204246
-19.6613,0.03319
-19.68434,0.022977
-19.95078,-0.015318
-22.57107,0.020424
-22.7903,0.022977
-23.52766,-0.025531
-24.19819,-0.058721
-26.60862,-0.053615
-27.99771,0.020424
-28.40516,-0.028084
-28.76416,-0.058721
-31.35782,-0.058721
-32.01201,0.028084
-33.38134,-0.063827
-34.07301,-0.079146
-34.74371,0.022978
-35.89124,-0.056168
-36.72445,-0.071487
-36.94103,0.02553
-36.96539,-0.058721
-37.45224,-0.051061
-39.07274,-0.063827
-39.15701,-0.089358
-39.48166,-0.035743
-39.65323,-0.025531
-4.428892,0.02553
-4.689381,0.030637
-40.97733,-0.053615
-41.37439,0.02553
-43.54176,0.028084
-43.77472,-0.058721
-43.9254,-0.02553
-44.04005,-0.056168
-44.04816,-0.074039
-46.00019,-0.022978
-5.024818,-0.022978
-50.52284,-0.076592
-50.64779,-0.079145
-50.78898,-0.06638
-51.35942,-0.081698
-52.40139,-0.043403
-53.50884,-0.084251
-53.64732,-0.076592
-54.64108,-0.079145
-54.80923,-0.091911
-55.00933,-0.068933
-55.1019,-0.104676
-55.20682,-0.045955
-56.65897,-0.06638
-59.92794,-0.089358
-6.724859,0.025531
-60.13245,-0.017872
-60.34211,-0.091911
-61.06548,-0.094463
-62.28901,-0.09191
-63.81996,-0.097017
-63.87189,-0.084251
-64.17065,-0.089357
-65.17666,-0.097017
