Event,Duration_ms,,Event,Duration_ms,,Event,Duration_ms,,"3È¸ (Æò±Õ, ÆíÂ÷)",Aver,Std
Calibration,235.665,,Calibration,241.763,,Calibration,244.36,,Calibration,240.596,4.46342615
Prediction,25.817,,Prediction,26.106,,Prediction,26.361,,Prdiction Latency,23.46460417,1.457392378
Latency,17.58,,Latency,14.372,,Latency,2.153,,Round-Trip Time,10.44091667,7.247918809
Prediction,21.338,,Prediction,22.475,,Prediction,24.289,,,,
Latency,16.018,,Latency,0.519,,Latency,1.358,,,,
Prediction,21.354,,Prediction,22.702,,Prediction,22.035,,,,
Latency,15.11,,Latency,2.342,,Latency,16.071,,,,
Prediction,21.592,,Prediction,23.712,,Prediction,23.14,,,,
Latency,16.579,,Latency,0.656,,Latency,15.24,,,,
Prediction,21.934,,Prediction,22.196,,Prediction,22.454,,,,
Latency,16.93,,Latency,16.64,,Latency,16.045,,,,
Prediction,22.851,,Prediction,24.231,,Prediction,22.875,,,,
Latency,0.267,,Latency,0.709,,Latency,17.296,,,,
Prediction,22.879,,Prediction,22.292,,Prediction,22.238,,,,
Latency,16.396,,Latency,5.356,,Latency,16.51,,,,
Prediction,24.003,,Prediction,22.768,,Prediction,24.975,,,,
Latency,9.865,,Latency,16.647,,Latency,0.275,,,,
Prediction,25.234,,Prediction,23.644,,Prediction,23.16,,,,
Latency,16.686,,Latency,16.724,,Latency,0.397,,,,
Prediction,23.75,,Prediction,22.332,,Prediction,21.042,,,,
Latency,17.044,,Latency,16.319,,Latency,16.586,,,,
Prediction,21.435,,Prediction,22.653,,Prediction,25.55,,,,
Latency,0,,Latency,15.526,,Latency,16.708,,,,
Prediction,23.427,,Prediction,24.508,,Prediction,23.251,,,,
Latency,0.847,,Latency,13.672,,Latency,12.924,,,,
Prediction,23.443,,Prediction,23.957,,Prediction,27.339,,,,
Latency,0.351,,Latency,0.595,,Latency,0.351,,,,
Prediction,22.092,,Prediction,23.078,,Prediction,23.352,,,,
Latency,0.412,,Latency,16.861,,Latency,16.602,,,,
Prediction,25.471,,Prediction,25.014,,Prediction,23.591,,,,
Latency,13.382,,Latency,14.206,,Latency,11.429,,,,
Prediction,24.623,,Prediction,25.147,,Prediction,22.591,,,,
Latency,15.869,,Latency,16.388,,Latency,0.351,,,,
